ID,Created,Name,Description,Playlist URL
a8e2ef9ec30f4d76b34585927ecefed2,2025-08-20T15:03:46Z,Aaaaaaaand it’s gone!,Songs under 3 minutes long,https://open.spotify.com/playlist/4V7xdV5l5iQqtrFQQVKBCJ
7318c17fa2b24c20a70105f30c1fde47,2025-08-20T15:07:25Z,Broadway is not Dark Tonight,Songs from musicals - screen or stage. No disney movies.,https://open.spotify.com/playlist/7Mnn0PkNxx30ZCxwrkaUHg
99642e28cc7841839bfe2b490072b3d6,2025-08-20T15:08:24Z,"Eat, Drink and Be Merry, for Tomorrow we Die",Songs with a Food or Drink in the title,https://open.spotify.com/playlist/5pCpNZ01mXf8sChbTDpESf
13c7b79156f341cd836ea96e556d0c80,2025-08-20T15:10:22Z,Fallen Comrade Tribute,"A song dedicated to a former member of the league, who are:
Alex Chester
Av Sinensky
Dan Birken
Eric Gillen
Evan Jean
Jim Crumley
John Barber
Michael Beverage
Allix Orvitz

",https://open.spotify.com/playlist/2wN9cykfp70ETHydDThwGm
7c56e1e6220b49b69686dbdf5757c64f,2025-08-20T15:12:07Z,The Wizards of Oz,Songs from the Australian Continent. G’day Mate!,https://open.spotify.com/playlist/4X6mY758lPCUHa3vSjlTSc
cc2cf82140114728b929a64c180d2487,2025-08-20T15:13:49Z,"That’s all, Folk!","

Folk music is the winner!

When the round starts we will spin a wheel of the following genre options:
Hard Rock (Incl Metal, Grunge, Punk Rock)
Country
Folk
EDM/Techno
Classic Rock
Pop Divas
R&B
Rap - Pre 2000
Rap - 2000 or later
Foreign language

",https://open.spotify.com/playlist/2uM6XNKFWkYyZc9naMbFO3
